n_jobs,time,executor
1,0.07699966430664062,thread
2,0.07799959182739258,thread
3,0.07799959182739258,thread
4,0.07750654220581055,thread
5,0.07901740074157715,thread
6,0.07999873161315918,thread
7,0.07950806617736816,thread
8,0.08199930191040039,thread
9,0.08056473731994629,thread
10,0.07999849319458008,thread
11,0.08000063896179199,thread
12,0.08051347732543945,thread
13,0.08155679702758789,thread
14,0.0820012092590332,thread
15,0.0819997787475586,thread
16,0.08099961280822754,thread
17,0.0824887752532959,thread
18,0.0815131664276123,thread
19,0.08251738548278809,thread
20,0.08150839805603027,thread
21,0.0837247371673584,thread
22,0.08500075340270996,thread
23,0.0839993953704834,thread
24,0.08551359176635742,thread
25,0.08451199531555176,thread
26,0.08499979972839355,thread
27,0.08551621437072754,thread
28,0.08689117431640625,thread
29,0.08599996566772461,thread
30,0.0859992504119873,thread
31,0.08599996566772461,thread
32,0.08659672737121582,thread
33,0.08602023124694824,thread
34,0.0859994888305664,thread
35,0.08650922775268555,thread
36,0.08600044250488281,thread
37,0.08800077438354492,thread
38,0.08751273155212402,thread
39,0.0875101089477539,thread
40,0.08702421188354492,thread
1,0.4651327133178711,process
2,0.43200087547302246,process
3,0.43763089179992676,process
4,0.44605016708374023,process
5,0.46015191078186035,process
6,0.47702860832214355,process
7,0.5049049854278564,process
8,0.5641179084777832,process
9,0.5964767932891846,process
10,0.6182584762573242,process
11,0.6489415168762207,process
12,0.7515909671783447,process
13,0.7324502468109131,process
14,0.7643229961395264,process
15,0.802248477935791,process
16,0.841057538986206,process
17,0.8663630485534668,process
18,0.9046473503112793,process
19,0.9603831768035889,process
20,1.0048720836639404,process
21,1.079887866973877,process
22,1.122114896774292,process
23,1.1702311038970947,process
24,1.2302594184875488,process
25,1.3027067184448242,process
26,1.307868480682373,process
27,1.3611109256744385,process
28,1.4301869869232178,process
29,1.4671144485473633,process
30,1.5173110961914062,process
31,1.5600669384002686,process
32,1.6271617412567139,process
33,1.6463408470153809,process
34,1.7003450393676758,process
35,1.7282414436340332,process
36,1.7716670036315918,process
37,1.845116376876831,process
38,1.8738608360290527,process
39,1.921128511428833,process
40,1.940976619720459,process
